CustomerID,Name,Email,Phone,Address,DateOfBirth,Gender,SignupDate,AccountBalance,IsActive
728617ef-c2d7-477f-8d61-3f2575c23832,Russell James,yvega@yahoo.com,(349)169-5405,"771 Jennifer Hills Apt. 825, Nataliemouth, TN 43837",3/25/1999,Female,8/27/2023,9700.65,FALSE
b3c6c2ee-2b15-44c8-b12a-c6a43b2fc7b7,Caitlin Koch,zking@miller-allison.com,(409)748-3666,"PSC 3579, Box 6069, APO AP 14918",9/5/1959,Female,12/30/2022,5249.49,TRUE
4bae48a0-bf79-435c-85fc-2c530fc01650,Brittany George,collinbennett@mcdonald.com,(189)516-2055x5614,"0307 Eduardo Roads, Port Mark, MT 80099",7/27/2006,Female,7/25/2021,5110.56,FALSE
a389d443-92d2-4a97-863d-6ae5a49e5357,Taylor Jones,hudsonbrandon@dunn.com,(368)651-9357,"81645 Lara Plaza, Jasonborough, IL 13735",9/16/1960,Male,5/27/2025,3966.66,TRUE
d25e08a4-5708-4377-9f5e-60c603ab4d70,Regina Nguyen,upierce@green-bryant.org,+1-490-305-6624x512,"Unit 1215 Box 8006, DPO AP 87012",6/14/1964,Female,9/29/2020,2509.82,FALSE
129d482f-ddbc-4d68-901c-c1b2fa3176cd,Mary Cabrera,jenniferdennis@dickerson.com,916-843-1764,"1654 Rodriguez Bypass, Lake Michael, PA 97510",8/27/1969,Male,9/23/2024,2536.39,TRUE
53c4a3c1-1e09-4257-83f1-1bda4e33a5e3,Elizabeth Baker,rebecca23@yahoo.com,+1-353-357-1389x78110,"168 Carla Valley Suite 894, East Richard, FL 12202",7/29/1969,Female,8/2/2023,704.08,FALSE
19fd1006-4cd1-4f82-9131-d397390133c8,Ryan Foley,fanderson@thompson.info,001-118-328-6530x7432,"01600 Knight Courts Suite 123, Lake Garyside, HI 68718",9/25/1956,Male,8/31/2020,2821.66,TRUE
0bcad3b6-3821-4fec-95c9-29842f7d9ff3,Denise Hunt,seanjacobson@gmail.com,(995)941-7024x40579,"40978 Morgan Circles Apt. 794, Janicefort, MI 59472",6/26/1987,Male,7/12/2023,9567.33,FALSE
ccfcf847-42b4-4660-8b9c-53c7f0c53061,Suzanne Harvey,daniellegutierrez@yahoo.com,+1-891-554-4893x13277,"PSC 7606, Box 4120, APO AA 12755",9/16/1961,Male,9/28/2020,8411.36,TRUE
e4a513fd-dd9a-49a6-873d-dfe1752c3a23,Michael Jones,romerokeith@hotmail.com,2212260629,"6781 Robin Green, Porterville, OK 55754",3/26/2002,Other,4/1/2024,4338.41,FALSE
36c781fc-421b-48fb-a98d-3bef58bbc26b,Stacey Jones,markwalker@jensen.org,636-627-2361,"87153 Elizabeth Road Suite 888, Melissastad, WY 92076",3/16/1961,Other,3/12/2021,1901.94,TRUE
a7394c54-6126-489d-9920-cc8b9eae2f58,Zachary Mason DDS,vickie71@barnes.com,+1-219-083-0222x500,"497 Penny Mission, New Daniel, PA 39420",5/31/2003,Other,6/6/2025,5955.1,FALSE
1306bc31-4985-483b-a6fc-f0168951852e,Anna Peterson,mmiller@hotmail.com,208-247-7308x12610,"09417 Lisa Way Suite 636, West Victoria, VA 25199",12/31/1967,Other,9/6/2020,1782.68,FALSE
69730e7e-b71f-4886-b336-af3564001245,Rachel Jones,pamela52@jackson-mitchell.info,001-631-235-1406x265,"PSC 1979, Box 2878, APO AE 47423",6/10/1985,Male,10/22/2020,923.35,TRUE
6448dfb5-1d27-499b-99ec-a13625f22a1f,Rebecca Williams,xhernandez@hill-galvan.com,001-345-649-9385x192,"5375 Watts Neck Apt. 603, Lake Laura, MD 38898",6/10/1987,Other,7/31/2020,292.98,TRUE
